id_vial,trayecto,pk,lat,lon
CV-20,CV-20,4,39.94952286399008,-0.1778327406838236
CV-309,CV-309,3,39.641168178389336,-0.2649278843360079
CV-410,CV-410,2,39.45353910166568,-0.473758289142013
CV-213,CV-213,17,39.921628616196514,-0.44177592414050093
V-23,V-23,2,39.64212563415938,-0.2888712136155389
CV-25,DIPUTACION,12,39.71599873791592,-0.5358797876470414
CV-183,CV-183,0,39.94436806179804,-0.05439694899804099
CV-18,CV-18,12,39.87714720019329,-0.1095886245816173
CV-20,CV-20,57,40.087790321333834,-0.5673308388242526
CV-346,CV-346,5,39.77316255807433,-0.9908932276804933
CV-207,CV-207,6,40.056652639169705,-0.667868008787187
CV-35,CV-35,6,39.51801506639695,-0.43337963112036426
CV-25,DIPUTACION,7,39.686752985842276,-0.5454267857981349
CV-363,CV-363,32,40.0598100367697,-1.2440201491665328
CV-315,CV-315,5,39.54263071566958,-0.3878030603775711
CV-35,CV-35,42,39.70146296032641,-0.7428628174830041
A-23,A-23,45,39.93596900907764,-0.6021505754005224
A-23,A-23,0,39.661998315188036,-0.279410172512879
V-30,V-30,3,39.436916823253256,-0.3739341206090593
CV-20,CV-20,10,39.96345596546765,-0.2426199419270164
CV-18,CV-18,10,39.89198049776617,-0.09726562560218785
CV-125,CV-125,19,40.54854248747709,-0.2502043255876266
AP-7,E-15,413,40.06856431244665,0.10248487863269698
CV-336,CV-336,2,39.551237203053795,-0.5544473156468346
CV-354,CV-354,2,39.90995317132323,-1.0006654810897824
CV-132,CV-132,2,40.48095671889421,0.17705378040433759
N-III,N-III,299,39.44942471240385,-0.8488415750558908
CV-10,CV-10,62,40.30595779289821,0.1125376131995329
A-3,A-3,284,39.5197296191598,-1.1369325919155713
CV-215,CV-215,13,39.90179493192294,-0.46109350791628545
A-23,A-23,13,39.73721649627945,-0.3696957128721886
CV-197,CV-197,2,40.16575888064188,-0.4706706380069818
CV-317,CV-317,0,39.68286404040671,-0.26797924833894754
CV-315,CV-315,11,39.592669927712436,-0.39444996050205594
CV-483,CV-483,2,40.11931791917258,-1.413502662149082
N-340 A,N-340 A,970,39.95191018096048,-0.08179236007813648
CV-315,CV-315,10,39.582798691019754,-0.3937965536991708
A-3,A-3,297,39.470297223694544,-1.005898420658798
A-23,A-23,39,39.90420877312312,-0.5497422520201621
CV-350,CV-350,2,39.90826950096928,-0.9644424440963515
CV-411,Carretera Valenciana,2,39.43958275062146,-0.4932071605380313
N-III,N-III,303,39.431265802986104,-0.8128727163324424
CV-25,DIPUTACION,13,39.722535206814285,-0.5324941502793986
CV-352,CV-352,1,39.8639628033943,-1.0313088010336966
V-31,V-31,13,39.439026397136175,-0.3698768920077548
CV-18,CV-18,0,39.96464843765985,-0.05439769296670325
A-3,A-3,347,39.47906271894291,-0.4715026532850408
CS-22,CS-22,9,39.984391639811314,-0.004560806827909824
CV-10,CV-10,38,40.1474255235449,0.03574808239667517
CV-370,CV-370,0,39.4965454418617,-0.47966113928546716
N-232,N-232,1,40.475214060245015,0.4550791910107982
CV-30,CV-30,3,39.49621838553329,-0.40996646683467886
CV-30,CV-30,1,39.49107290609737,-0.43132967579445436
CV-18,CV-18,11,39.88481658257006,-0.1040226808780791
CV-15,CV-15,0,40.109375571245494,0.008092339986230166
CV-35,CV-35,3,39.501011801925145,-0.4082983486622097
CV-409,CV-409,0,39.464279253520715,-0.4560381686485165
V-31,V-31,3,39.36805320926756,-0.4263559725097131
CV-15,CV-15,2,40.12118849366602,-0.00784485746586156
V-31,V-31,5,39.376947479124105,-0.40899495803665953
